이름,데미지,공격속도,이동속도,치명타확률,치명타피해,체력,물리방어,마법방어,회피율,사거리,패시브1,패시브2,패시브3,패시브4
아리아,21,0.7,0.7,10,150,102,1,3,1,200,34,5,128,33
강룡,73,1.1,1.9,12,225,1200,12,24,12,25,163,81,81,10
알렉스 주니어,75,1.8,1.7,26,225,500,8,16,8,120,5,80,5,25
하나카제,70,1.8,1,18,195,197,8,4,4,279,5,5,130,35
세이메이,47,1.2,0.9,15,150,234,12,6,6,159,56,8,50,2
삼장,59,1.4,0.7,17,150,112,3,6,3,243,78,5,10,312
노란 눈의 청룡,35,1,1.2,13,150,357,9,18,9,75,495,6.5,6.5,5
관우,29,0.8,1.3,12,150,408,20,10,10,24,111,111,6.5,6.5
무사시,23,0.7,1.4,10,150,479,24,12,12,10,300,78,75,8
인면조,39,1,1.1,13,150,316,16,8,8,103,168,672,6.5,6.5
용왕,54,1.3,0.8,17,150,153,8,4,4,215,111,5,436,8
알파고,27,0.8,1.3,11,150,438,11,22,11,18,80,78,8,10
저승사자,51,1.3,0.8,16,150,193,5,10,5,187,82,8,320,5
시바,43,1.1,1,14,150,275,7,14,7,131,372,8,5,10
진가령,94,1.3,1.7,14,225,660,20,10,10,95,64,8,5,64
발록,56,1,1.8,12,210,974,12,24,12,20,10,83,6.5,83
윙드 후사르,29,0.9,1.9,11,195,659,26,13,13,10,173,84,10,8
아르테미스,58,1.4,0.7,17,150,122,6,3,3,236,234,10,5,6.5
블랙오딘,33,0.9,1.2,12,150,377,19,9,9,61,134,8,10,10
바론 샤드,46,1.2,1,15,150,245,6,12,6,152,100,10,100,10
악투르,22,0.7,1.4,10,150,489,24,12,12,8,206,206,10,8
카르멘,54,1.3,0.8,16,150,163,8,4,4,208,146,5,146,8
미디어,34,0.9,1.2,12,150,367,18,9,9,68,111,10,6.5,10
성기사 미치,26,0.8,1.3,11,150,449,11,22,11,16,174,6.5,174,8
사탄,42,1.1,1,14,150,285,7,14,7,124,393,8,10,6.5
틱톡,38,1,1.1,13,150,326,8,16,8,96,123,504,5,8
펄로즈,50,1.2,0.9,16,150,204,5,10,5,180,267,8,6.5,6.5
소진홍,80,1.2,1.8,12,225,1150,23,11,11,30,180,88,87,5
아네모네,100,1.6,1.4,16,225,567,7,14,7,203,10,52,6.5,49
헌터 크로우,35,1,1.8,12,195,656,12,25,12,18,131,8,62,5
붉은 구름,53,1.3,0.8,16,150,173,9,4,4,201,87,340,84,8
솔져 94,37,1,1.1,13,150,336,17,8,8,89,309,10,8,10
보이드 가이,25,0.8,1.4,11,150,459,11,23,11,14,238,10,236,10
슈퍼볼,21,0.7,1.5,10,150,500,25,12,12,6,106,107,6.5,8
아마존,29,0.8,1.3,11,150,418,21,10,10,22,63,66,5,10
버튼,49,1.2,0.9,15,150,214,11,5,5,117,162,8,5,5
스페이스 가이,25,0.8,1.4,11,150,459,11,23,11,14,238,10,236,10
에이든,32,0.9,1.2,12,150,387,9,19,9,28,112,116,10,6.5
해커 나이트,45,1.2,1,15,150,255,6,13,6,145,219,5,876,8
프리덤,57,1.4,0.7,17,150,132,3,7,3,229,5,240,60,10
갓 파더,41,1.1,1.1,14,150,296,7,15,7,173,130,8,130,8
듀라한,64,1.2,2,12,240,1320,23,11,11,30,279,8,6.5,5
도겸,96,1.5,1.5,15,225,644,8,17,8,154,202,8,5,408
아이야나,94,1.9,0.9,19,195,165,6,3,3,230,287,8,288,5
아누비스,50,1.2,0.9,15,150,244,5,11,5,166,345,1380,10,10
라이노 엑스,24,0.7,1.4,10,150,469,11,23,11,12,130,10,5,6.5
그리폰 아르디,36,1,1.2,13,150,347,8,17,8,82,94,5,8,5
타타 엘레팡,28,0.8,1.3,11,150,428,21,10,10,20,81,84,5,10
피지컬,31,0.9,1.2,12,150,398,20,10,10,26,107,106,5,6.5
후르츠 키드,56,1.4,0.8,17,150,143,7,3,3,222,255,10,10,1020
클레오 파트라,59,1.5,0.7,18,150,102,5,2,3,250,5,10,260,65
트리플 대거,52,1.3,0.8,16,150,183,9,4,4,194,87,8,84,6.5
스핑크스,40,1.1,1.1,14,150,306,7,15,7,110,103,408,101,6.5
닥터 바이오,44,1.1,1,14,150,265,6,13,6,138,393,8,6.5,10
스물다섯번째 밤,69,1.1,2.1,15,225,925,27,13,13,15,311,6.5,310,5
쿤 아게로,91,1.7,1.6,21,225,678,8,16,8,186,76,6.5,78,5
유리 자하드,127,2,1.2,24,225,418,10,5,5,301,208,6.5,208,5
라크 레크레이셔,48,1.1,2.1,16,225,1140,13,26,13,18,108,6.5,8,108
주작,31,0.9,1.1,9,140,288,15,7,7,123,32,6.4,5.2,33
잔다르크,34,1,1,11,140,254,6,13,6,141,93,8,6.4,8
베가스,33,1,1,10,140,265,14,7,7,135,222,888,6.4,4
미스터 웨스턴,30,0.9,1.1,9,140,299,15,7,7,117,70,6.4,4,6.4
브루탈 미니,29,0.9,1.1,9,140,310,8,16,8,111,102,392,5.2,8
미스터 캡틴,37,1.1,1,11,140,220,6,12,6,159,47,8,6.4,176
샌드 스피릿,32,1,1.1,10,140,276,7,14,7,129,36,5.2,144,35
아주아,45,1.2,0.8,13,140,142,4,8,4,201,43,4,168,6.4
범수,22,0.8,1.2,7,140,377,19,9,9,16,44,44,8,172
세종대왕,48,1.2,0.8,14,140,108,7,3,3,219,61,4,244,59
겐조,44,1.2,0.8,13,140,153,9,4,4,195,119,8,8,8
밤부,25,0.8,1.2,8,140,344,8,17,8,28,126,125,4,5.2
X보이,35,1,1,11,140,243,6,13,6,147,71,4,4,8
구미호,40,1.1,0.9,12,140,198,5,11,5,171,75,6.4,8,74
셜록,24,0.8,1.2,8,140,355,18,9,9,24,48,50,8,188
나폴레옹,28,0.9,1.1,9,140,321,16,8,8,36,44,49,8,5.2
헤라,43,1.2,0.8,13,140,164,9,4,4,189,34,5.2,33,8
베토벤,39,1.1,0.9,12,140,209,11,5,5,165,47,8,6.4,44
알렉산더 대왕,21,0.8,1.2,7,140,388,9,19,9,12,5.2,336,6.4,5.2
퀸 엘리자베스,47,1.2,0.8,14,140,119,3,7,3,213,100,4,400,6.4
알브스키,20,0.7,1.3,6,140,400,20,10,10,8,122,123,6.4,5.2
앨리스,42,1.1,0.9,12,140,176,10,5,5,183,34,4,33,8
크리스,46,1.2,0.8,14,140,131,4,8,4,207,79,6.4,4,4
쿠에시,23,0.8,1.2,7,140,366,18,9,9,20,5.2,123,8,500
찰리 아프칸,50,1.3,0.7,15,140,97,6,3,3,225,175,5.2,4,6.4
스콜피온킹,41,1.1,0.9,12,140,187,10,5,5,177,54,6.4,212,53
이그웨 본,26,0.8,1.2,8,140,332,8,17,8,32,73,75,6.4,5.2
머미 잭,36,1,1,11,140,232,6,12,6,153,55,4,216,5.2
,,,,,,,,,,,,,,
