date,Manual,offered,answered,mon,tue,wed,thur,fri,sat,sun,before_IVR,after_IVR,after_GH,t1,t2,t3
2019-11-01,756,498,495,0,0,0,0,1,0,0,1,0,0,1,1,1
2019-11-02,725,490,483,0,0,0,0,0,1,0,1,0,0,2,4,8
2019-11-03,616,426,424,0,0,0,0,0,0,1,1,0,0,3,9,27
2019-11-04,1077,703,696,1,0,0,0,0,0,0,1,0,0,4,16,64
2019-11-05,831,564,559,0,1,0,0,0,0,0,1,0,0,5,25,125
2019-11-06,778,520,512,0,0,1,0,0,0,0,1,0,0,6,36,216
2019-11-07,738,494,490,0,0,0,1,0,0,0,1,0,0,7,49,343
2019-11-08,719,505,502,0,0,0,0,1,0,0,1,0,0,8,64,512
2019-11-09,543,431,428,0,0,0,0,0,1,0,1,0,0,9,81,729
2019-11-10,621,470,467,0,0,0,0,0,0,1,1,0,0,10,100,1000
2019-11-11,1085,772,763,1,0,0,0,0,0,0,1,0,0,11,121,1331
2019-11-12,855,565,562,0,1,0,0,0,0,0,1,0,0,12,144,1728
2019-11-13,828,550,544,0,0,1,0,0,0,0,1,0,0,13,169,2197
2019-11-14,811,536,531,0,0,0,1,0,0,0,1,0,0,14,196,2744
2019-11-15,741,512,507,0,0,0,0,1,0,0,1,0,0,15,225,3375
2019-11-16,552,434,430,0,0,0,0,0,1,0,1,0,0,16,256,4096
2019-11-17,485,370,368,0,0,0,0,0,0,1,1,0,0,17,289,4913
2019-11-18,991,691,686,1,0,0,0,0,0,0,1,0,0,18,324,5832
2019-11-19,863,582,576,0,1,0,0,0,0,0,1,0,0,19,361,6859
2019-11-20,922,564,556,0,0,1,0,0,0,0,1,0,0,20,400,8000
2019-11-21,868,542,531,0,0,0,1,0,0,0,1,0,0,21,441,9261
2019-11-22,791,587,573,0,0,0,0,1,0,0,1,0,0,22,484,10648
2019-11-23,568,458,454,0,0,0,0,0,1,0,1,0,0,23,529,12167
2019-11-24,593,443,441,0,0,0,0,0,0,1,1,0,0,24,576,13824
2019-11-25,956,677,670,1,0,0,0,0,0,0,1,0,0,25,625,15625
2019-11-26,899,614,609,0,1,0,0,0,0,0,1,0,0,26,676,17576
2019-11-27,787,521,513,0,0,1,0,0,0,0,1,0,0,27,729,19683
2019-11-28,786,533,527,0,0,0,1,0,0,0,1,0,0,28,784,21952
2019-11-29,876,631,619,0,0,0,0,1,0,0,1,0,0,29,841,24389
2019-11-30,581,464,457,0,0,0,0,0,1,0,1,0,0,30,900,27000
2019-12-01,576,447,441,0,0,0,0,0,0,1,1,0,0,31,961,29791
2019-12-02,1023,715,707,1,0,0,0,0,0,0,1,0,0,32,1024,32768
2019-12-03,856,567,561,0,1,0,0,0,0,0,0,1,0,33,1089,35937
2019-12-04,1063,879,862,0,0,1,0,0,0,0,0,1,0,34,1156,39304
2019-12-05,983,847,835,0,0,0,1,0,0,0,0,1,0,35,1225,42875
2019-12-06,966,816,797,0,0,0,0,1,0,0,0,1,0,36,1296,46656
2019-12-07,655,594,585,0,0,0,0,0,1,0,0,1,0,37,1369,50653
2019-12-08,703,604,597,0,0,0,0,0,0,1,0,1,0,38,1444,54872
2019-12-09,1265,997,980,1,0,0,0,0,0,0,0,1,0,39,1521,59319
2019-12-10,1177,967,961,0,1,0,0,0,0,0,0,1,0,40,1600,64000
2019-12-11,1055,861,851,0,0,1,0,0,0,0,0,1,0,41,1681,68921
2019-12-12,1117,912,910,0,0,0,1,0,0,0,0,1,1,42,1764,74088
2019-12-13,1100,899,892,0,0,0,0,1,0,0,0,1,1,43,1849,79507
2019-12-14,798,688,682,0,0,0,0,0,1,0,0,1,1,44,1936,85184
2019-12-15,899,762,758,0,0,0,0,0,0,1,0,1,1,45,2025,91125
2019-12-16,1467,1193,1172,1,0,0,0,0,0,0,0,1,1,46,2116,97336
2019-12-17,1137,957,953,0,1,0,0,0,0,0,0,1,1,47,2209,103823
2019-12-18,1190,1001,985,0,0,1,0,0,0,0,0,1,1,48,2304,110592
2019-12-19,972,803,796,0,0,0,1,0,0,0,0,1,1,49,2401,117649
2019-12-20,1033,853,837,0,0,0,0,1,0,0,0,1,1,50,2500,125000
2019-12-21,852,747,734,0,0,0,0,0,1,0,0,1,1,51,2601,132651
2019-12-22,822,710,705,0,0,0,0,0,0,1,0,1,1,52,2704,140608
2019-12-23,1389,1126,1105,1,0,0,0,0,0,0,0,1,1,53,2809,148877
2019-12-24,1003,843,835,0,1,0,0,0,0,0,0,1,1,54,2916,157464
2019-12-25,676,579,572,0,0,1,0,0,0,0,0,1,1,55,3025,166375
2019-12-26,1145,938,922,0,0,0,1,0,0,0,0,1,1,56,3136,175616
2019-12-27,1032,850,837,0,0,0,0,1,0,0,0,1,1,57,3249,185193
2019-12-28,868,743,732,0,0,0,0,0,1,0,0,1,1,58,3364,195112
2019-12-29,824,689,617,0,0,0,0,0,0,1,0,1,1,59,3481,205379
2019-12-30,1216,971,947,1,0,0,0,0,0,0,0,1,1,60,3600,216000
2019-12-31,1097,924,895,0,1,0,0,0,0,0,0,1,1,61,3721,226981
